RHEA_ID	DIRECTION	MASTER_ID	ID	DB
10140	UN	10140	1.1.1.188	EC
10140	UN	10140	GO:0047017	GO
10142	RL	10140	1.1.1.188-RXN	METACYC
10143	BI	10140	R02684	KEGG_REACTION
10144	UN	10144	3.1.3.6	EC
10144	UN	10144	GO:0008254	GO
10145	LR	10144	3-NUCLEOTID-RXN	ECOCYC
10145	LR	10144	3-NUCLEOTID-RXN	METACYC
10147	BI	10144	R03060	KEGG_REACTION
10148	UN	10148	3.5.4.23	EC
10148	UN	10148	GO:0047711	GO
10151	BI	10148	BLASTICIDIN-S-DEAMINASE-RXN	METACYC
10151	BI	10148	R03800	KEGG_REACTION
10152	UN	10152	2.7.2.2	EC
10152	UN	10152	GO:0008804	GO
10155	BI	10152	CARBAMATE-KINASE-RXN	METACYC
10155	BI	10152	R00150	KEGG_REACTION
10156	UN	10156	1.14.14.101	EC
10156	UN	10156	GO:0047089	GO
10157	LR	10156	1.14.13.57-RXN	METACYC
10159	BI	10156	R04708	KEGG_REACTION
10160	UN	10160	1.1.1.14	EC
10160	UN	10160	GO:0003939	GO
10163	BI	10160	L-IDITOL-2-DEHYDROGENASE-RXN	METACYC
10163	BI	10160	R07145	KEGG_REACTION
10164	UN	10164	4.2.1.11	EC
10164	UN	10164	GO:0004634	GO
10165	LR	10164	M0311	MACIE
10165	LR	10164	R-HSA-71660.2	REACTOME
10166	RL	10164	R-HSA-70494.2	REACTOME
10167	BI	10164	2PGADEHYDRAT-RXN	ECOCYC
10167	BI	10164	2PGADEHYDRAT-RXN	METACYC
10167	BI	10164	R00658	KEGG_REACTION
10168	UN	10168	1.3.7.2	EC
10168	UN	10168	GO:0050617	GO
10170	RL	10168	1.3.7.2-RXN	METACYC
10171	BI	10168	R05818	KEGG_REACTION
10172	UN	10172	3.1.1.22	EC
10172	UN	10172	GO:0047989	GO
10173	LR	10172	HYDROXYBUTYRATE-DIMER-HYDROLASE-RXN	METACYC
10175	BI	10172	R00048	KEGG_REACTION
10176	UN	10176	1.1.1.397	EC
10178	RL	10176	RXN-17529	METACYC
10179	BI	10176	R11336	KEGG_REACTION
10180	UN	10180	1.5.1.6	EC
10180	UN	10180	FORMYLTETRAHYDROFOLATE-DEHYDROGENASE-RXN	METACYC
10180	UN	10180	GO:0016155	GO
10183	BI	10180	R00941	KEGG_REACTION
10184	UN	10184	3.1.1.24	EC
10184	UN	10184	GO:0047570	GO
10185	LR	10184	3-OXOADIPATE-ENOL-LACTONASE-RXN	METACYC
10187	BI	10184	R02991	KEGG_REACTION
10188	UN	10188	2.3.3.10	EC
10188	UN	10188	GO:0004421	GO
10189	LR	10188	R-HSA-191323.3	REACTOME
10189	LR	10188	R-HSA-73918.3	REACTOME
10191	BI	10188	HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	METACYC
10191	BI	10188	R01978	KEGG_REACTION
10192	UN	10192	7.3.2.3	EC
10192	UN	10192	GO:0015419	GO
10193	LR	10192	3.6.3.25-RXN	METACYC
10193	LR	10192	ABC-70-RXN	ECOCYC
10196	UN	10196	4.2.1.113	EC
10197	LR	10196	O-SUCCINYLBENZOATE-COA-SYN-RXN	ECOCYC
10197	LR	10196	O-SUCCINYLBENZOATE-COA-SYN-RXN	METACYC
10199	BI	10196	R04031	KEGG_REACTION
10200	UN	10200	1.3.1.31	EC
10200	UN	10200	GO:0047540	GO
10203	BI	10200	2-ENOATE-REDUCTASE-RXN	METACYC
10203	BI	10200	R01689	KEGG_REACTION
10204	UN	10204	1.5.8.1	EC
10204	UN	10204	GO:0047133	GO
10207	BI	10204	1.5.8.1-RXN	METACYC
10207	BI	10204	R01588	KEGG_REACTION
10208	UN	10208	2.3.2.8	EC
10208	UN	10208	GO:0004057	GO
10211	BI	10208	ARGINYLTRANSFERASE-RXN	METACYC
10211	BI	10208	R03862	KEGG_REACTION
10212	UN	10212	2.6.1.48	EC
10212	UN	10212	GO:0047589	GO
10215	BI	10212	R02274	KEGG_REACTION
10215	BI	10212	VAGL-RXN	METACYC
10216	UN	10216	2.7.11.23	EC
10216	UN	10216	GO:0008353	GO
10219	BI	10216	R04358	KEGG_REACTION
10219	BI	10216	RNA-POLYMERASE-SUBUNIT-KINASE-RXN	METACYC
10220	UN	10220	6.1.1.1	EC
10220	UN	10220	GO:0004831	GO
10221	LR	10220	TYROSINE--TRNA-LIGASE-RXN	ECOCYC
10221	LR	10220	TYROSINE--TRNA-LIGASE-RXN	METACYC
10223	BI	10220	R02918	KEGG_REACTION
10224	UN	10224	2.7.1.35	EC
10224	UN	10224	GO:0008478	GO
10225	LR	10224	PYRIDOXKIN-RXN	ECOCYC
10225	LR	10224	PYRIDOXKIN-RXN	METACYC
10225	LR	10224	R-HSA-964970.1	REACTOME
10227	BI	10224	R00174	KEGG_REACTION
10228	UN	10228	GO:0047780	GO
10231	BI	10228	ACONITATEDEHYDR-RXN	ECOCYC
10231	BI	10228	ACONITATEDEHYDR-RXN	METACYC
10231	BI	10228	R01325	KEGG_REACTION
10232	UN	10232	2.4.2.20	EC
10232	UN	10232	2.4.2.20-RXN	METACYC
10232	UN	10232	GO:0047281	GO
10235	BI	10232	R04346	KEGG_REACTION
10236	UN	10236	2.4.1.114	EC
10236	UN	10236	GO:0047212	GO
10237	LR	10236	2.4.1.114-RXN	METACYC
10239	BI	10236	R03710	KEGG_REACTION
10240	UN	10240	1.3.1.9	EC
10242	RL	10240	1.3.1.9-RXN	ECOCYC
10242	RL	10240	1.3.1.9-RXN	METACYC
10243	BI	10240	R01403	KEGG_REACTION
10244	UN	10244	3.7.1.2	EC
10244	UN	10244	GO:0004334	GO
10245	LR	10244	FUMARYLACETOACETASE-RXN	METACYC
10245	LR	10244	M0180	MACIE
10245	LR	10244	R-HSA-71181.4	REACTOME
10247	BI	10244	R01364	KEGG_REACTION
10248	UN	10248	3.6.1.23	EC
10248	UN	10248	3.6.1.9	EC
10248	UN	10248	GO:0004170	GO
10249	LR	10248	DUTP-PYROP-RXN	ECOCYC
10249	LR	10248	DUTP-PYROP-RXN	METACYC
10249	LR	10248	R-HSA-73666.4	REACTOME
10251	BI	10248	R02100	KEGG_REACTION
10252	UN	10252	2.5.1.65	EC
10252	UN	10252	GO:0033847	GO
10255	BI	10252	2.5.1.65-RXN	METACYC
10255	BI	10252	R07274	KEGG_REACTION
10256	UN	10256	2.7.9.5	EC
10256	UN	10256	GO:0102217	GO
10257	LR	10256	2.7.9.5-RXN	METACYC
10260	UN	10260	7.2.2.14	EC
10260	UN	10260	GO:0015444	GO
10261	LR	10260	3.6.3.2-RXN	METACYC
10261	LR	10260	TRANS-RXN-250	ECOCYC
10264	UN	10264	5.1.3.3	EC
10264	UN	10264	GO:0004034	GO
10267	BI	10264	ALDOSE-1-EPIMERASE-RXN	ECOCYC
10267	BI	10264	ALDOSE-1-EPIMERASE-RXN	METACYC
10267	BI	10264	R01602	KEGG_REACTION
10268	UN	10268	4.1.2.20	EC
10268	UN	10268	GO:0008672	GO
10269	LR	10268	4.1.2.20-RXN	METACYC
10271	BI	10268	R03277	KEGG_REACTION
10272	UN	10272	2.7.1.107	EC
10272	UN	10272	GO:0004143	GO
10275	BI	10272	DIACYLGLYKIN-RXN	ECOCYC
10275	BI	10272	DIACYLGLYKIN-RXN	METACYC
10275	BI	10272	R02240	KEGG_REACTION
10276	UN	10276	2.7.4.24	EC
10277	LR	10276	2.7.4.24-RXN	METACYC
10277	LR	10276	R-HSA-1855182.2	REACTOME
10279	BI	10276	R08964	KEGG_REACTION
10280	UN	10280	2.1.1.160	EC
10280	UN	10280	GO:0102741	GO
10281	LR	10280	RXN-7601	METACYC
10283	BI	10280	R07921	KEGG_REACTION
10284	UN	10284	5.4.3.7	EC
10284	UN	10284	GO:0050047	GO
10287	BI	10284	LEUCINE-23-AMINOMUTASE-RXN	METACYC
10287	BI	10284	R01091	KEGG_REACTION
10288	UN	10288	3.1.1.65	EC
10288	UN	10288	GO:0050033	GO
10289	LR	10288	L-RHAMNONO-14-LACTONASE-RXN	METACYC
10291	BI	10288	R03772	KEGG_REACTION
10292	UN	10292	2.3.1.4	EC
10292	UN	10292	GO:0004343	GO
10293	LR	10292	GLUCOSAMINEPNACETYLTRANS-RXN	METACYC
10295	BI	10292	R02058	KEGG_REACTION
10296	UN	10296	1.2.1.13	EC
10296	UN	10296	1.2.1.59	EC
10296	UN	10296	GO:0047100	GO
10298	RL	10296	1.2.1.13-RXN	METACYC
10299	BI	10296	GAPDHSYNEC-RXN	METACYC
10299	BI	10296	R01063	KEGG_REACTION
10300	UN	10300	1.2.1.12	EC
10300	UN	10300	1.2.1.59	EC
10300	UN	10300	GO:0004365	GO
10301	LR	10300	R-HSA-70449.3	REACTOME
10302	RL	10300	R-HSA-70482.3	REACTOME
10303	BI	10300	GAPDHSYNEC-RXN	METACYC
10303	BI	10300	GAPOXNPHOSPHN-RXN	ECOCYC
10303	BI	10300	GAPOXNPHOSPHN-RXN	METACYC
10303	BI	10300	R01061	KEGG_REACTION
10304	UN	10304	2.3.1.40	EC
10304	UN	10304	GO:0008779	GO
10307	BI	10304	ACYLGPEACYLTRANS-RXN	ECOCYC
10307	BI	10304	ACYLGPEACYLTRANS-RXN	METACYC
10307	BI	10304	R04864	KEGG_REACTION
10312	UN	10312	1.14.12.15	EC
10312	UN	10312	GO:0018628	GO
10313	LR	10312	1.14.12.15-RXN	METACYC
10315	BI	10312	R05148	KEGG_REACTION
10316	UN	10316	1.14.11.6	EC
10316	UN	10316	GO:0050341	GO
10317	LR	10316	THYMINE-DIOXYGENASE-RXN	METACYC
10319	BI	10316	R01412	KEGG_REACTION
10320	UN	10320	4.2.1.77	EC
10320	UN	10320	GO:0050346	GO
10321	LR	10320	TRANS-L-3-HYDROXYPROLINE-DEHYDRATASE-RXN	METACYC
10323	BI	10320	R04374	KEGG_REACTION
10324	UN	10324	1.1.1.185	EC
10324	UN	10324	L-GLYCOL-DEHYDROGENASE-RXN	METACYC
10327	BI	10324	R03585	KEGG_REACTION
10328	UN	10328	1.1.1.185	EC
10328	UN	10328	L-GLYCOL-DEHYDROGENASE-RXN	METACYC
10331	BI	10328	R03584	KEGG_REACTION
10332	UN	10332	2.3.1.62	EC
10332	UN	10332	2.3.1.62-RXN	METACYC
10332	UN	10332	GO:0047190	GO
10335	BI	10332	R01319	KEGG_REACTION
10336	UN	10336	4.2.1.3	EC
10336	UN	10336	GO:0003994	GO
10337	LR	10336	R-HSA-5690911.1	REACTOME
10337	LR	10336	R-HSA-70971.3	REACTOME
10338	RL	10336	R-HSA-450975.3	REACTOME
10339	BI	10336	R01324	KEGG_REACTION
10339	BI	10336	RXN-14047	ECOCYC
10339	BI	10336	RXN-14047	METACYC
10340	UN	10340	4.2.3.21	EC
10340	UN	10340	GO:0034003	GO
10341	LR	10340	RXN-4823	METACYC
10343	BI	10340	R06523	KEGG_REACTION
10344	UN	10344	2.3.1.25	EC
10344	UN	10344	GO:0047159	GO
10347	BI	10344	2.3.1.104-RXN	METACYC
10347	BI	10344	PLASMALOGEN-SYNTHASE-RXN	METACYC
10347	BI	10344	R03109	KEGG_REACTION
10348	UN	10348	3.5.2.9	EC
10348	UN	10348	GO:0017168	GO
10349	LR	10348	5-OXOPROLINASE-ATP-HYDROLYSING-RXN	METACYC
10349	LR	10348	R-HSA-1247935.2	REACTOME
10351	BI	10348	R00251	KEGG_REACTION
10352	UN	10352	3.5.1.76	EC
10352	UN	10352	GO:0047416	GO
10355	BI	10352	3.5.1.76-RXN	METACYC
10355	BI	10352	R04727	KEGG_REACTION
10356	UN	10356	1.1.1.152	EC
10356	UN	10356	1.1.1.152-RXN	METACYC
10356	UN	10356	GO:0047009	GO
10359	BI	10356	R04309	KEGG_REACTION
10360	UN	10360	3.1.1.35	EC
10360	UN	10360	GO:0047856	GO
10361	LR	10360	DIHYDROCOUMARIN-LIPASE-RXN	METACYC
10363	BI	10360	R03692	KEGG_REACTION
10364	UN	10364	2.3.3.4	EC
10364	UN	10364	DECYLHOMOCITRATE-SYNTHASE-RXN	METACYC
10364	UN	10364	GO:0050458	GO
10367	BI	10364	R03859	KEGG_REACTION
10368	UN	10368	2.6.1.59	EC
10368	UN	10368	GO:0019180	GO
10371	BI	10368	R04438	KEGG_REACTION
10371	BI	10368	RFFTRANS-RXN	ECOCYC
10371	BI	10368	RFFTRANS-RXN	METACYC
10372	UN	10372	1.2.1.58	EC
10372	UN	10372	GO:0047110	GO
10375	BI	10372	1.2.1.58-RXN	METACYC
10375	BI	10372	R02450	KEGG_REACTION
10376	UN	10376	7.2.2.9	EC
10376	UN	10376	GO:0043682	GO
10376	UN	10376	R-HSA-936802.1	REACTOME
10376	UN	10376	R-HSA-936895.1	REACTOME
10377	LR	10376	3.6.3.4-RXN	ECOCYC
10377	LR	10376	3.6.3.4-RXN	METACYC
10380	UN	10380	2.4.2.10	EC
10380	UN	10380	GO:0004588	GO
10382	RL	10380	R-HSA-73567.4	REACTOME
10383	BI	10380	OROPRIBTRANS-RXN	ECOCYC
10383	BI	10380	OROPRIBTRANS-RXN	METACYC
10383	BI	10380	R01870	KEGG_REACTION
10385	LR	10384	RXN-15812	METACYC
10388	UN	10388	4.1.1.32	EC
10388	UN	10388	GO:0004613	GO
10389	LR	10388	R-HSA-372819.1	REACTOME
10389	LR	10388	R-HSA-70241.2	REACTOME
10391	BI	10388	4.1.1.32-RXN	METACYC
10391	BI	10388	R00431	KEGG_REACTION
10392	UN	10392	1.1.1.195	EC
10392	UN	10392	GO:0045551	GO
10395	BI	10392	CINNAMYL-ALCOHOL-DEHYDROGENASE-RXN	METACYC
10395	BI	10392	R03054	KEGG_REACTION
10396	UN	10396	1.4.1.5	EC
10396	UN	10396	GO:0050018	GO
10397	LR	10396	L-AMINO-ACID-DEHYDROGENASE-RXN	METACYC
10399	BI	10396	R01258	KEGG_REACTION
10400	UN	10400	2.6.1.15	EC
10400	UN	10400	GO:0047945	GO
10401	LR	10400	R-HSA-893616.2	REACTOME
10403	BI	10400	GLUTAMINE--PYRUVATE-AMINOTRANSFERASE-RXN	METACYC
10403	BI	10400	R00576	KEGG_REACTION
10408	UN	10408	2.3.1.176	EC
10408	UN	10408	GO:0050632	GO
10410	RL	10408	2.3.1.154-RXN	METACYC
10410	RL	10408	R-HSA-390224.1	REACTOME
10411	BI	10408	R05330	KEGG_REACTION
10412	UN	10412	3.6.1.13	EC
10412	UN	10412	3.6.1.53	EC
10412	UN	10412	GO:0047631	GO
10413	LR	10412	R-HSA-2393939.4	REACTOME
10413	LR	10412	R-HSA-2393954.3	REACTOME
10413	LR	10412	R-HSA-5696049.1	REACTOME
10413	LR	10412	RXN0-1441	ECOCYC
10413	LR	10412	RXN0-1441	METACYC
10415	BI	10412	R01054	KEGG_REACTION
10416	UN	10416	4.1.99.11	EC
10416	UN	10416	GO:0018805	GO
10417	LR	10416	RXN-863	METACYC
10419	BI	10416	R05598	KEGG_REACTION
10420	UN	10420	2.6.1.77	EC
10420	UN	10420	GO:0031299	GO
10423	BI	10420	R05652	KEGG_REACTION
10423	BI	10420	TAURINE-AMINOTRANSFERASE-RXN	METACYC
10424	UN	10424	3.5.1.32	EC
10424	UN	10424	GO:0047980	GO
10425	LR	10424	HIPPURATE-HYDROLASE-RXN	METACYC
10427	BI	10424	R01424	KEGG_REACTION
10428	UN	10428	1.13.11.31	EC
10428	UN	10428	GO:0004052	GO
10429	LR	10428	ARACHIDONATE-12-LIPOXYGENASE-RXN	METACYC
10429	LR	10428	R-HSA-2161964.2	REACTOME
10431	BI	10428	R01596	KEGG_REACTION
10432	UN	10432	3.5.1.29	EC
10432	UN	10432	GO:0047411	GO
10433	LR	10432	3.5.1.29-RXN	METACYC
10435	BI	10432	R01649	KEGG_REACTION
10436	UN	10436	4.2.1.106	EC
10436	UN	10436	GO:0033988	GO
10437	LR	10436	BA7DEHYDRA-RXN	METACYC
10439	BI	10436	R11565	KEGG_REACTION
10440	UN	10440	3.1.1.17	EC
10440	UN	10440	GO:0004341	GO
10441	LR	10440	GLUCONOLACT-RXN	ECOCYC
10441	LR	10440	GLUCONOLACT-RXN	METACYC
10443	BI	10440	R01519	KEGG_REACTION
10444	UN	10444	2.1.1.291	EC
10444	UN	10444	GO:0102917	GO
10445	LR	10444	RXN-8700	METACYC
10447	BI	10444	R08787	KEGG_REACTION
10448	UN	10448	1.14.20.5	EC
10448	UN	10448	GO:0033759	GO
10449	LR	10448	RXN-8000	METACYC
10451	BI	10448	R07367	KEGG_REACTION
10453	LR	10452	RXN-11666	METACYC
10455	BI	10452	R11814	KEGG_REACTION
10456	UN	10456	2.3.1.79	EC
10456	UN	10456	GO:0008925	GO
10457	LR	10456	MALTACETYLTRAN-RXN	ECOCYC
10457	LR	10456	MALTACETYLTRAN-RXN	METACYC
10459	BI	10456	R01556	KEGG_REACTION
10460	UN	10460	5.3.3.9	EC
10460	UN	10460	GO:0050219	GO
10460	UN	10460	PROSTAGLANDIN-A1-DELTA-ISOMERASE-RXN	METACYC
10463	BI	10460	R04565	KEGG_REACTION
10464	UN	10464	3.5.1.41	EC
10464	UN	10464	GO:0004099	GO
10465	LR	10464	CHITIN-DEACETYLASE-RXN	METACYC
10467	BI	10464	R02333	KEGG_REACTION
10468	UN	10468	4.1.2.9	EC
10468	UN	10468	GO:0050193	GO
10469	LR	10468	PHOSPHOKETOLASE-RXN	METACYC
10471	BI	10468	R01621	KEGG_REACTION
10472	UN	10472	4.1.3.32	EC
10472	UN	10472	GO:0047529	GO
10473	LR	10472	23-DIMETHYLMALATE-LYASE-RXN	METACYC
10475	BI	10472	R01355	KEGG_REACTION
10480	UN	10480	GO:0047578	GO
10483	BI	10480	4-HYDROXYGLUTAMATE-AMINOTRANSFERASE-RXN	METACYC
10483	BI	10480	R03266	KEGG_REACTION
10484	UN	10484	3.5.1.71	EC
10484	UN	10484	GO:0050128	GO
10485	LR	10484	N-FERULOYLGLYCINE-DEACYLASE-RXN	METACYC
10487	BI	10484	R03579	KEGG_REACTION
10488	UN	10488	6.3.3.2	EC
10488	UN	10488	GO:0030272	GO
10489	LR	10488	5-FORMYL-THF-CYCLO-LIGASE-RXN	ECOCYC
10489	LR	10488	5-FORMYL-THF-CYCLO-LIGASE-RXN	METACYC
10491	BI	10488	R02301	KEGG_REACTION
10492	UN	10492	3.1.3.75	EC
10492	UN	10492	GO:0052731	GO
10493	LR	10492	RXN-5647	ECOCYC
10493	LR	10492	RXN-5647	METACYC
10495	BI	10492	R06871	KEGG_REACTION
10500	UN	10500	2.3.3.7	EC
10500	UN	10500	GO:0050441	GO
10503	BI	10500	3-ETHYLMALATE-SYNTHASE-RXN	METACYC
10503	BI	10500	R01180	KEGG_REACTION
10508	UN	10508	2.2.1.1	EC
10508	UN	10508	GO:0004802	GO
10509	LR	10508	M0219	MACIE
10511	BI	10508	1TRANSKETO-RXN	ECOCYC
10511	BI	10508	1TRANSKETO-RXN	METACYC
10511	BI	10508	R01641	KEGG_REACTION
10516	UN	10516	1.1.1.166	EC
10516	UN	10516	1.1.1.166-RXN	METACYC
10516	UN	10516	GO:0047010	GO
10519	BI	10516	1.1.1.166-RXN	METACYC
10519	BI	10516	R05315	KEGG_REACTION
10520	UN	10520	2.4.1.241	EC
10520	UN	10520	GO:0046481	GO
10521	LR	10520	RXN-1225	METACYC
10523	BI	10520	R04469	KEGG_REACTION
10524	UN	10524	4.1.1.71	EC
10524	UN	10524	GO:0008683	GO
10525	LR	10524	RXN-7774	METACYC
10527	BI	10524	R00272	KEGG_REACTION
10528	UN	10528	1.14.14.100	EC
10528	UN	10528	GO:0047088	GO
10529	LR	10528	1.14.13.56-RXN	METACYC
10531	BI	10528	R04702	KEGG_REACTION
10532	UN	10532	4.2.1.20	EC
10532	UN	10532	GO:0004834	GO
10533	LR	10532	TRYPSYN-RXN	ECOCYC
10533	LR	10532	TRYPSYN-RXN	METACYC
10535	BI	10532	R02722	KEGG_REACTION
10536	UN	10536	3.1.6.10	EC
10536	UN	10536	GO:0033888	GO
10537	LR	10536	CHONDRO-6-SULFATASE-RXN	METACYC
10539	BI	10536	R03518	KEGG_REACTION
10540	UN	10540	4.1.2.25	EC
10540	UN	10540	GO:0004150	GO
10541	LR	10540	H2NEOPTERINALDOL-RXN	ECOCYC
10541	LR	10540	H2NEOPTERINALDOL-RXN	METACYC
10543	BI	10540	R03504	KEGG_REACTION
10548	UN	10548	1.13.12.1	EC
10548	UN	10548	GO:0047678	GO
10549	LR	10548	ARGININE-2-MONOOXYGENASE-RXN	METACYC
10551	BI	10548	R00559	KEGG_REACTION
10552	UN	10552	1.1.3.10	EC
10552	UN	10552	GO:0050233	GO
10553	LR	10552	PYRANOSE-OXIDASE-RXN	METACYC
